case,activity,start_time,end_time
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:34,2019-10-16 17:40:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:37,2019-10-16 17:40:40
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:40,2019-10-16 17:40:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:44,2019-10-16 17:40:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:45,2019-10-16 17:40:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:47,2019-10-16 17:47:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:48,2019-10-16 17:40:51
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:51,2019-10-16 17:41:46
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:46,2019-10-16 17:41:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:49,2019-10-16 17:41:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:52,2019-10-16 17:41:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:55,2019-10-16 17:42:12
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:12,2019-10-16 17:42:22
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:22,2019-10-16 17:42:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:25,2019-10-16 17:42:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:30,2019-10-16 17:42:33
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:33,2019-10-16 17:42:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:36,2019-10-16 17:42:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:41,2019-10-16 17:42:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:44,2019-10-16 17:43:53
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:57,2019-10-16 17:42:59
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:59,2019-10-16 17:43:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:05,2019-10-16 17:43:35
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:35,2019-10-16 17:43:40
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:40,2019-10-16 17:43:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:45,2019-10-16 17:43:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:48,2019-10-16 17:43:53
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:53,2019-10-16 17:43:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:53,2019-10-16 17:43:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:55,2019-10-16 17:44:22
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:58,2019-10-16 17:44:00
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:00,2019-10-16 17:44:03
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:03,2019-10-16 17:44:08
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:08,2019-10-16 17:44:11
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:11,2019-10-16 17:44:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:15,2019-10-16 17:44:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:18,2019-10-16 17:44:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:23,2019-10-16 17:44:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:23,2019-10-16 17:44:31
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:25,2019-10-16 17:45:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:31,2019-10-16 17:44:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:34,2019-10-16 17:44:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:37,2019-10-16 17:44:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:41,2019-10-16 17:44:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:44,2019-10-16 17:45:14
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:13,2019-10-16 17:45:16
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:14,2019-10-16 17:45:17
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:16,2019-10-16 17:45:20
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:17,2019-10-16 17:45:20
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:20,2019-10-16 17:45:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:20,2019-10-16 17:45:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:23,2019-10-16 17:45:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:24,2019-10-16 17:45:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:26,2019-10-16 17:45:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:26,2019-10-16 17:45:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:29,2019-10-16 17:45:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:29,2019-10-16 17:45:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:32,2019-10-16 17:45:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:32,2019-10-16 17:45:35
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:34,2019-10-16 17:45:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:35,2019-10-16 17:52:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:37,2019-10-16 17:45:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:41,2019-10-16 17:45:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:45,2019-10-16 17:45:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:49,2019-10-16 17:45:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:53,2019-10-16 17:46:06
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:46:06,2019-10-16 17:46:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:46:13,2019-10-16 17:47:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:41,2019-10-16 17:47:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:44,2019-10-16 17:47:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:49,2019-10-16 17:47:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:52,2019-10-16 17:47:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:54,2019-10-16 17:47:57
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:55,2019-10-16 17:47:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:57,2019-10-16 17:47:59
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:58,2019-10-16 17:48:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:59,2019-10-16 17:48:02
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:02,2019-10-16 17:48:07
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:07,2019-10-16 17:48:10
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:10,2019-10-16 17:48:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:13,2019-10-16 17:48:17
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:17,2019-10-16 17:48:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:21,2019-10-16 17:48:24
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:24,2019-10-16 17:48:28
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:28,2019-10-16 17:48:31
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:31,2019-10-16 17:48:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:34,2019-10-16 17:48:38
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:38,2019-10-16 17:48:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:41,2019-10-16 17:48:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:44,2019-10-16 17:48:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:47,2019-10-16 17:49:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:54,2019-10-16 17:49:08
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:08,2019-10-16 17:49:11
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:11,2019-10-16 17:49:14
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:14,2019-10-16 17:49:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:18,2019-10-16 17:49:46
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:47,2019-10-16 17:49:50
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:50,2019-10-16 17:49:53
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:54,2019-10-16 17:49:56
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:54,2019-10-16 17:50:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:49:56,2019-10-16 17:52:12
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:50:05,2019-10-16 17:50:08
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:50:08,2019-10-16 17:50:11
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:50:11,2019-10-16 17:52:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:12,2019-10-16 17:52:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:15,2019-10-16 17:52:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:18,2019-10-16 17:52:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:18,2019-10-16 17:52:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:21,2019-10-16 17:52:24
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:21,2019-10-16 17:52:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:24,2019-10-16 17:52:27
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:25,2019-10-16 17:53:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:27,2019-10-16 17:52:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:30,2019-10-16 17:52:33
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:33,2019-10-16 17:52:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:36,2019-10-16 17:52:39
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:39,2019-10-16 17:52:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:41,2019-10-16 18:01:06
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:44,2019-10-16 17:52:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:47,2019-10-16 17:52:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:52:58,2019-10-16 17:53:00
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:00,2019-10-16 17:53:03
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:03,2019-10-16 17:53:06
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:06,2019-10-16 17:53:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:15,2019-10-16 17:53:33
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:33,2019-10-16 17:53:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:37,2019-10-16 17:53:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:37,2019-10-16 17:53:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:41,2019-10-16 17:53:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:44,2019-10-16 17:53:51
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:47,2019-10-16 17:53:50
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:50,2019-10-16 17:53:56
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:51,2019-10-16 17:53:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:55,2019-10-16 17:53:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:56,2019-10-16 17:54:00
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:53:58,2019-10-16 17:54:01
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:00,2019-10-16 17:54:04
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:01,2019-10-16 17:54:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:04,2019-10-16 17:54:07
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:05,2019-10-16 17:54:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:07,2019-10-16 17:54:11
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:11,2019-10-16 17:54:14
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:14,2019-10-16 17:54:17
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:15,2019-10-16 17:54:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:17,2019-10-16 17:54:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:18,2019-10-16 17:54:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:21,2019-10-16 18:39:24
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:21,2019-10-16 17:54:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:25,2019-10-16 17:54:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:29,2019-10-16 17:54:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:32,2019-10-16 17:54:39
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:39,2019-10-16 17:54:43
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:43,2019-10-16 17:54:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:47,2019-10-16 17:54:50
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:54:50,2019-10-16 17:55:02
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:55:02,2019-10-16 17:55:06
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:55:06,2019-10-16 17:55:09
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:55:09,2019-10-16 17:57:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:57:58,2019-10-16 17:58:01
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:58:01,2019-10-16 17:58:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:58:05,2019-10-16 18:20:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:06,2019-10-16 18:01:09
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:09,2019-10-16 18:01:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:14,2019-10-16 18:01:16
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:16,2019-10-16 18:01:19
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:19,2019-10-16 18:01:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:23,2019-10-16 18:01:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:01:26,2019-10-16 18:02:01
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:02:01,2019-10-16 18:02:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:02:05,2019-10-16 18:02:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:02:30,2019-10-16 18:02:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:02:36,2019-10-16 18:24:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 18:20:49,2019-10-16 18:21:00
