factor_std,average,std,lower_bound,upper_bound,number_of_anomalies,anomaly_traces
1.0,1237.88,71.62,1166.26,1309.5,1,['daily.2019-09-24_05-05-02']
1.5,1237.88,71.62,1130.45,1345.31,1,['daily.2019-09-24_05-05-02']
2.25,1237.88,71.62,1076.74,1399.02,1,['daily.2019-09-24_05-05-02']
3.375,1237.88,71.62,996.16,1479.6,1,['daily.2019-09-24_05-05-02']
5.0625,1237.88,71.62,875.3,1600.46,1,['daily.2019-09-24_05-05-02']
7.59375,1237.88,71.62,694.02,1781.74,0,[]
11.390625,1237.88,71.62,422.08,2053.68,0,[]
17.0859375,1237.88,71.62,14.19,2461.57,0,[]
